GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,geometry_Tract,ward,OBJECTID,URL,DC_CODE,TYPE,NAME,GIS_ID,SHAPE_Length,SHAPE_Area,Name,Description,geometry_ft
110010006002,2016,6.2,"District of Columbia, District of Columbia",852.0,0.0,211.0,43.26,1460.0,239545.0,1113800.0,21.7,77.35,2.82,9.15,0.0,10.68,0.0,0.0,0.0,4.0,1.0,0.47,1.9,1,0,0,"MULTIPOLYGON (((-77.066389 38.93465, -77.06638599999999 38.936288, -77.06107900000001 38.93582, -77.06106800000001 38.937156, -77.06014500000001 38.936876, -77.059243 38.936824, -77.05677 38.93257, -77.057875 38.932715, -77.060119 38.930314, -77.063254 38.930509, -77.064769 38.931094, -77.06639 38.931467, -77.066389 38.93465)))",Ward 3,,,,,,,,,,,
110010006003,2016,6.3,"District of Columbia, District of Columbia",753.0,16.85,141.0,40.11,2147.0,111098.0,1152500.0,41.9,88.84,1.73,2.39,0.0,4.65,0.0,2.39,0.0,1.0,0.0,0.0,0.71,1,0,0,"MULTIPOLYGON (((-77.07241500000001 38.933484, -77.072429 38.934231, -77.07250500000001 38.934636, -77.066389 38.93465, -77.06639 38.931467, -77.06720900000001 38.931564, -77.07265 38.931871, -77.07247599999999 38.932943, -77.07241500000001 38.933484)))",Ward 3,,,,,,,,,,,
110010006004,2016,6.4,"District of Columbia, District of Columbia",1897.0,0.0,150.0,8.82,2576.0,179861.0,990400.0,14.5,72.59,7.7,12.81,0.0,3.32,0.0,3.27,0.32,3.0,0.0,0.0,2.0,1,0,0,"MULTIPOLYGON (((-77.067852 38.940876, -77.06744399999999 38.939899, -77.066799 38.939083, -77.06638700000001 38.937335, -77.06106800000001 38.937156, -77.06107900000001 38.93582, -77.06638599999999 38.936288, -77.066389 38.93465, -77.07250500000001 38.934636, -77.072609 38.934898, -77.073149 38.936075, -77.07503699999999 38.939545, -77.07650700000001 38.942216, -77.06887500000001 38.94221, -77.067852 38.940876)))",Ward 3,,,,,,,,,,,
110010007011,2016,7.01.1,"District of Columbia, District of Columbia",1261.0,16.03,767.0,74.41,1479.0,62985.0,334100.0,34.8,62.33,17.21,3.17,0.0,12.29,0.0,5.0,0.0,51.0,11.0,1.43,6.65,1,0,0,"MULTIPOLYGON (((-77.07241500000001 38.933484, -77.07247599999999 38.932943, -77.07265 38.931871, -77.073162 38.928611, -77.077009 38.931412, -77.079155 38.932985, -77.07976499999999 38.933432, -77.07946699999999 38.93349, -77.077048 38.933488, -77.07241500000001 38.933484)))",Ward 3,,,,,,,,,,,
110010007012,2016,7.01.2,"District of Columbia, District of Columbia",1388.0,0.0,350.0,83.54,1647.0,62018.0,403200.0,31.8,69.09,7.06,5.84,0.0,4.11,0.0,13.9,0.0,58.0,1.0,0.29,16.57,1,0,0,"MULTIPOLYGON (((-77.079155 38.932985, -77.077009 38.931412, -77.07705 38.930561, -77.07705199999999 38.929019, -77.08038999999999 38.930196, -77.079155 38.932985)))",Ward 3,,,,,,,,,,,
110010007013,2016,7.01.3,"District of Columbia, District of Columbia",1614.0,5.81,116.0,10.48,1968.0,111250.0,390500.0,19.4,88.66,1.67,6.44,0.0,0.0,0.0,3.22,0.0,1.0,0.0,0.0,0.86,1,0,0,"MULTIPOLYGON (((-77.080005 38.925908, -77.080997 38.925993, -77.081514 38.926154, -77.08038999999999 38.930196, -77.07705199999999 38.929019, -77.077048 38.926183, -77.079206 38.926173, -77.080005 38.925908)))",Ward 3,,,,,,,,,,,
110010007014,2016,7.01.4,"District of Columbia, District of Columbia",982.0,0.0,455.0,55.67,1862.0,82868.0,949100.0,50.0,75.46,1.53,0.0,0.0,23.01,0.0,0.0,0.0,25.0,7.0,1.54,5.49,1,0,0,"MULTIPOLYGON (((-77.073188 38.926182, -77.073858 38.926185, -77.073858 38.925586, -77.07705799999999 38.925421, -77.077048 38.926183, -77.07705199999999 38.929019, -77.07705 38.930561, -77.077009 38.931412, -77.073162 38.928611, -77.073188 38.926182)))",Ward 3,,,,,,,,,,,
110010007021,2016,7.02.1,"District of Columbia, District of Columbia",1409.0,0.0,492.0,52.26,1887.0,89800.0,292900.0,29.3,84.88,2.77,3.26,0.57,8.52,0.0,0.0,0.0,35.0,2.0,0.41,7.11,1,0,0,"MULTIPOLYGON (((-77.080005 38.925908, -77.078872 38.925815, -77.07705199999999 38.922549, -77.07790900000001 38.922549, -77.08200600000001 38.921524, -77.082272 38.921493, -77.081514 38.926154, -77.080997 38.925993, -77.080005 38.925908)))",Ward 3,,,,,,,,,,,
110010007022,2016,7.02.2,"District of Columbia, District of Columbia",908.0,0.0,808.0,97.74,1319.0,51477.0,,29.9,67.95,13.33,10.57,0.0,6.61,0.0,1.54,0.0,20.0,4.0,0.5,2.48,1,0,0,"MULTIPOLYGON (((-77.073188 38.926182, -77.073185 38.92362, -77.073168 38.923079, -77.073123 38.922914, -77.073216 38.922739, -77.073195 38.922544, -77.074697 38.922548, -77.07705799999999 38.925421, -77.073858 38.925586, -77.073858 38.926185, -77.073188 38.926182)))",Ward 3,,,,,,,,,,,
110010007023,2016,7.02.3,"District of Columbia, District of Columbia",999.0,0.0,410.0,77.59,1727.0,100028.0,380000.0,20.5,80.68,1.5,9.81,0.0,4.5,0.0,3.5,0.0,11.0,2.0,0.49,2.68,1,0,0,"MULTIPOLYGON (((-77.080005 38.925908, -77.079206 38.926173, -77.077048 38.926183, -77.07705799999999 38.925421, -77.074697 38.922548, -77.07705199999999 38.922549, -77.078872 38.925815, -77.080005 38.925908)))",Ward 3,,,,,,,,,,,
110010008011,2016,8.01.1,"District of Columbia, District of Columbia",2150.0,0.0,1004.0,40.49,2249.0,77214.0,534000.0,50.0,68.0,9.86,14.28,0.0,4.56,0.0,3.3,0.0,40.0,4.0,0.4,3.98,1,0,0,"MULTIPOLYGON (((-77.07976499999999 38.933432, -77.079155 38.932985, -77.08038999999999 38.930196, -77.080506 38.930223, -77.080568 38.930235, -77.083995 38.930277, -77.086133 38.934021, -77.08183 38.93494, -77.080122 38.933693, -77.07976499999999 38.933432)))",Ward 3,,,,,,,,,,,
110010008012,2016,8.01.2,"District of Columbia, District of Columbia",815.0,0.0,40.0,23.57,3501.0,250001.0,1368100.0,36.9,72.39,1.84,14.48,0.0,1.6,0.0,9.69,0.0,0.0,0.0,0.0,0.0,1,0,0,"MULTIPOLYGON (((-77.09325 38.932603, -77.09122000000001 38.933141, -77.091069 38.933197, -77.091065 38.930392, -77.090041 38.925955, -77.088746 38.919166, -77.09849699999999 38.919183, -77.099429 38.92207, -77.096504 38.925823, -77.09547999999999 38.927008, -77.096422 38.929977, -77.09325 38.932603)))",Ward 3,,,,,,,,,,,
110010008013,2016,8.01.3,"District of Columbia, District of Columbia",2478.0,6.89,151.0,7.99,3501.0,196161.0,1145200.0,50.0,84.02,4.16,8.56,0.0,1.53,0.0,1.74,0.0,1.0,0.0,0.0,0.66,1,0,0,"MULTIPOLYGON (((-77.08183 38.93494, -77.086133 38.934021, -77.083995 38.930277, -77.080568 38.930235, -77.080506 38.930223, -77.08038999999999 38.930196, -77.081514 38.926154, -77.082272 38.921493, -77.08214700000001 38.919411, -77.082035 38.919318, -77.082581 38.919297, -77.088746 38.919166, -77.090041 38.925955, -77.091065 38.930392, -77.091069 38.933197, -77.090784 38.933341, -77.089169 38.93454, -77.08816299999999 38.9353, -77.087728 38.935781, -77.086172 38.937599, -77.085938 38.937533, -77.08558499999999 38.937662, -77.08183 38.93494)))",Ward 3,,,,,,,,,,,
110010008014,2016,8.01.4,"District of Columbia, District of Columbia",1132.0,0.0,142.0,17.3,,,1027000.0,,69.35,1.77,5.3,0.0,12.9,0.0,9.45,1.24,5.0,1.0,0.7,3.52,1,0,0,"MULTIPOLYGON (((-77.10101559310839 38.9109831445552, -77.10120000000001 38.911111, -77.10339999999999 38.912911, -77.10500272508 38.9163375156884, -77.101911 38.918615, -77.101958 38.919952, -77.099429 38.92207, -77.09849699999999 38.919183, -77.088746 38.919166, -77.088781 38.917551, -77.088705 38.91644, -77.094673 38.915629, -77.09638099999999 38.914328, -77.096198 38.914278, -77.09635400000001 38.91412, -77.100859 38.911209, -77.10101559310839 38.9109831445552)))",Ward 3,,,,,,,,,,,
110010008021,2016,8.02.1,"District of Columbia, District of Columbia",1880.0,1.85,533.0,43.24,1579.0,82621.0,796300.0,29.2,58.4,14.63,10.05,0.0,11.6,0.0,5.32,0.0,14.0,4.0,0.75,2.63,1,0,0,"MULTIPOLYGON (((-77.07929739037989 38.9016231616772, -77.0822 38.901911, -77.0902 38.904211, -77.0937 38.905911, -77.10101559310839 38.9109831445552, -77.100859 38.911209, -77.09635400000001 38.91412, -77.096198 38.914278, -77.09638099999999 38.914328, -77.094673 38.915629, -77.088705 38.91644, -77.085491 38.91347, -77.084963 38.912113, -77.080579 38.906246, -77.078311 38.905987, -77.078124 38.905983, -77.078008 38.905969, -77.078029 38.905785, -77.078311 38.905785, -77.079866 38.905405, -77.07929739037989 38.9016231616772)))",Ward 3,,,,,,,,,,,
110010008022,2016,8.02.2,"District of Columbia, District of Columbia",1273.0,0.0,119.0,18.04,3501.0,140556.0,932900.0,50.0,72.9,0.0,21.52,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,"MULTIPOLYGON (((-77.079016 38.912679, -77.07903899999999 38.911804, -77.07909100000001 38.90989, -77.079655 38.908656, -77.079598 38.906814, -77.07834800000001 38.906266, -77.07830800000001 38.906249, -77.078311 38.905987, -77.080579 38.906246, -77.084963 38.912113, -77.085491 38.91347, -77.088705 38.91644, -77.088781 38.917551, -77.088746 38.919166, -77.082581 38.919297, -77.082035 38.919318, -77.081873 38.91772, -77.08186499999999 38.917617, -77.080696 38.915372, -77.078357 38.914326, -77.07884199999999 38.913111, -77.079016 38.912679)))",Ward 3,,,,,,,,,,,
110010009011,2016,9.01.1,"District of Columbia, District of Columbia",1551.0,4.34,52.0,13.38,3501.0,199028.0,1347200.0,22.8,79.95,1.48,11.73,0.0,2.97,0.0,3.87,0.0,0.0,0.0,0.0,0.0,1,0,0,"MULTIPOLYGON (((-77.097092 38.932549, -77.10181799999999 38.928384, -77.104035 38.927359, -77.106706 38.929768, -77.111588 38.93569, -77.102723 38.935703, -77.10103599999999 38.935162, -77.097092 38.932549)))",Ward 3,,,,,,,,,,,
110010009012,2016,9.01.2,"District of Columbia, District of Columbia",1688.0,0.0,168.0,25.36,1600.0,230972.0,1676900.0,30.8,82.17,4.86,7.23,0.0,4.8,0.0,0.95,0.0,1.0,0.0,0.0,0.6,1,0,0,"MULTIPOLYGON (((-77.1007 38.94891, -77.10052696966021 38.9490529381068, -77.100506 38.948781, -77.100613 38.948651, -77.099591 38.947909, -77.096763 38.945844, -77.09675900000001 38.938499, -77.095968 38.935919, -77.10103599999999 38.935162, -77.102723 38.935703, -77.111588 38.93569, -77.11212563870639 38.940418921902, -77.1045 38.94641, -77.10083429094269 38.94882165069559, -77.1007 38.94891)))",Ward 3,,,,,,,,,,,
110010009013,2016,9.01.3,"District of Columbia, District of Columbia",4551.0,0.0,67.0,17.46,3501.0,241528.0,1136700.0,27.3,66.82,10.85,13.87,0.0,6.11,0.0,2.2,0.15,1.0,0.0,0.0,1.49,1,0,0,"MULTIPOLYGON (((-77.085634 38.938226, -77.085447 38.938001, -77.08558499999999 38.937662, -77.085938 38.937533, -77.086172 38.937599, -77.087728 38.935781, -77.08816299999999 38.9353, -77.089169 38.93454, -77.090784 38.933341, -77.091069 38.933197, -77.09122000000001 38.933141, -77.09325 38.932603, -77.097092 38.932549, -77.10103599999999 38.935162, -77.095968 38.935919, -77.09675900000001 38.938499, -77.096763 38.945844, -77.093092 38.943164, -77.086226 38.938169, -77.08609199999999 38.938239, -77.085791 38.938275, -77.085634 38.938226)))",Ward 3,,,,,,,,,,,
110010009021,2016,9.02.1,"District of Columbia, District of Columbia",888.0,2.41,44.0,10.91,,212500.0,1221200.0,,63.85,4.73,27.48,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,"MULTIPOLYGON (((-77.09325 38.932603, -77.096422 38.929977, -77.09547999999999 38.927008, -77.096504 38.925823, -77.099429 38.92207, -77.10157599999999 38.925148, -77.104035 38.927359, -77.10181799999999 38.928384, -77.097092 38.932549, -77.09325 38.932603)))",Ward 3,,,,,,,,,,,
110010009022,2016,9.02.2,"District of Columbia, District of Columbia",1567.0,0.0,73.0,15.2,2227.0,192039.0,1000000.0,22.0,83.34,1.53,6.7,0.0,2.81,0.0,4.34,1.28,1.0,0.0,0.0,1.37,1,0,0,"MULTIPOLYGON (((-77.10500272508 38.9163375156884, -77.1063 38.919111, -77.1134 38.925211, -77.11660000000001 38.928911, -77.11790000000001 38.932411, -77.1199 38.934311, -77.11212563870639 38.940418921902, -77.111588 38.93569, -77.106706 38.929768, -77.104035 38.927359, -77.10157599999999 38.925148, -77.099429 38.92207, -77.101958 38.919952, -77.101911 38.918615, -77.10500272508 38.9163375156884)))",Ward 3,,,,,,,,,,,
